,full_text,startYear,averageRating,numVotes,writers,directors,actors
4109, Comedy Drama Lionsgate View Askew Productions BondIt Media Capital heart attack sequel aftercreditsstinger,2022,6.2,21245, KevinSmith, KevinSmith, BrianO'Halloran JeffAnderson VincentPereira MikeZapcic BryanJohnson WalterFlanagan WalterFlanagan MingChen ErnestO'Donnell ErnestO'Donnell MikeBelicose MikeBelicose JasonMewes
4110, Comedy Horror Mystery Vanishing Angle New Form Digital XYZ Films small town wolf utah investigation dark comedy full moon cop murder serial killer crime scene werewolf murder mystery father daughter relationship,2020,6.2,28114, JimCummings, JimCummings, JimCummings RikiLindhome RobertForster ChloeEast WillMadden AnnieHamilton JimmyTatro HannahElder KelseyEdwards SkylerBible
4111, Comedy Drama Balaji Motion Pictures Sikhya Entertainment,2021,6.9,11622, UmeshBist, UmeshBist MukeshKumar ChaudhariMitesh DantaniRavindrakumar, SanyaMalhotra SayaniGupta SheebaChaddha AshutoshRana ChetanSharma NatashaRastogi BhupeshPandya AasifKhan RaghubirYadav YaminiSingh
4112, Animation Comedy Drama Paramount Sunday Night Maximum Effort friendship imaginary friend aftercreditsstinger imaginary live action and animation imagination,2024,6.4,62830, JohnKrasinski, JohnKrasinski, CaileyFleming RyanReynolds JohnKrasinski JohnKrasinski PhoebeWaller-Bridge FionaShaw SteveCarell LouisGossettJr. AlanKim LizaColón-Zayas BobbyMoynihan
4113, Comedy Drama Romance Star Cinema – ABS-CBN Film Productions,2019,6.6,128, VanessaR.Valdez MaeCruz-Alviar KrisAnndelaPeña PatrickValencia, MaeCruz-Alviar, AngelicaPanganiban BeaAlonzo RichardGutierrez IanVeneracion GloriaDiaz RosannaRoces ViaAntonio PhilipJoshuaEndrinal AlanPaule IssaLitton
4114, Action Adventure Animation Beijing Enlight Pictures Horgos Coloroom Pictures Chengdu Coco Cartoon One&All Animation Studio fight creature fantasy world 3d animation feng shen yanyi donghua shenmo jiang ziya,2020,6.6,2782, XixingLu QianyingXie ZhonglinXu, TengCheng LiWei, LuciChristian LuciChristian GuanlinJi GuanlinJi GuangtaoJiang LuLi ChristopherSabat ChristopherSabat XinShan IanSinclair IanSinclair NazeehTarsha NazeehTarsha Tu-Te-Ha-Meng MemeYan
4115, Comedy Drama Estrella Productions France 3 Cinéma Auvergne-Rhône-Alpes Cinéma flower vendor flower garden economic problems,2020,6.4,1320, FadetteDrouard BlandineJet PhilippeLeGuay PierrePinaud SaraWikler, PierrePinaud, CatherineFrot MelanOmerta FatsahBouyahmed OliviaCôte MariePetiot VincentDedienne SerpentineTeyssier PasqualeD'Inca MathieuDuboclard MatthieuLoos
4116, Biography Comedy Crime Ingenious Media Screen Yorkshire Pathe couple release,2020,6.9,15773, RichardBean CliveColeman, RogerMichell, MatthewGoode HelenMirren JimBroadbent AnnaMaxwellMartin CharlotteSpencer SianClifford CharlesEdwards FionnWhitehead JamesWilby RichardMcCabe
4117, Comedy Crime Drama Andolan Films metafiction,2020,6.9,15711, AnuragKashyap VikramadityaMotwane AvinashSampath, VikramadityaMotwane, AnilKapoor AnuragKashyap SonamKapoor HarshvardhanKapoor BoneyKapoor YogitaBihani NawazuddinSiddiqui SucharitaTyagi AliAbbas RaghavAggarwal
4118, Action Adventure Animation Studio Mir Hivemind Little Schmidt Productions Platige Films monster magic creature fantasy world excited,2021,7.2,54447, BeauDeMayo AndrzejSapkowski, KwangIlHan, TheoJames MaryMcDonnell LaraPulver GrahamMcTavish TomCanton DavidErrigoJr. DavidErrigoJr. JenniferHale JenniferHale KariWahlgren KariWahlgren MatthewYangKing MatthewYangKing DarrylKurylo DarrylKurylo
